# Sphere drag coefficients vs. Reynolds numbers
# Experimental results from:
# Roos and Willmarth (1971). Some experimental results on sphere and disk drag.
# Data taken from the Table 1 in the paper
# Re	Cd
5.33	7.06
5.99	6.41
11.0	4.01
13.1	3.76
13.2	3.66
13.9	3.59
14.6	3.41
16.2	3.29
21.1	2.82
23.4	2.48
29.1	2.28
45.0	1.79
50.6	1.58
54.4	1.52
68.9	1.35
68.9	1.33
78.2	1.27
88.1	1.12
93.8	1.03
101.0	1.08
104.0	1.05
108.0	1.02
109.0	1.03
124.0	0.994
130.0	0.927
138.0	0.907
163.0	0.879
168.0	0.799
170.0	0.819
186.0	0.799
186.0	0.841
189.0	0.778
190.0	0.751
191.0	0.799
193.0	0.732
229.0	0.711
229.0	0.710
240.0	0.700
258.0	0.721
280.0	0.674
284.0	0.646
286.0	0.675
311.0	0.592
312.0	0.607
318.0	0.656
358.0	0.627
361.0	0.600
364.0	0.632
379.0	0.595
409.0	0.579
444.0	0.585
468.0	0.578
472.0	0.566
480.0	0.572
500.0	0.547
522.0	0.544
532.0	0.543
532.0	0.556
557.0	0.552
579.0	0.523
588.0	0.520
603.0	0.531
644.0	0.525
713.0	0.505
727.0	0.480
833.0	0.485
932.0	0.472
984.0	0.466
985.0	0.477
985.0	0.485
1000.0	0.472
1000.0	0.483
1070.0	0.452
1330.0	0.436
1650.0	0.440
1690.0	0.435
1950.0	0.427
2000.0	0.430
5570.0	0.460
5990.0	0.430
6210.0	0.390
6250.0	0.451
6900.0	0.460
7280.0	0.430
7520.0	0.435
8230.0	0.429
8580.0	0.390
8700.0	0.490
9620.0	0.490
13300.0	0.460
13400.0	0.480
13900.0	0.400
14700.0	0.460
16800.0	0.452
18000.0	0.510
18700.0	0.523
19500.0	0.500
21200.0	0.509
23100.0	0.511
23600.0	0.529
23700.0	0.455
24100.0	0.524
24200.0	0.520
25000.0	0.519
28000.0	0.495
31900.0	0.500
32400.0	0.479
33800.0	0.457
35400.0	0.482
35500.0	0.504
38200.0	0.513
41800.0	0.482
45900.0	0.467
46800.0	0.468
52400.0	0.503
53500.0	0.497
57500.0	0.480
57700.0	0.492
71900.0	0.451
89000.0	0.502
100000.0	0.467
118300.0	0.476

